Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,83,852,935,Namsan(North),MMR015016
 Rural,40,12710,12750,Namsan(North),MMR015016
 Total,123,13562,13685,Namsan(North),MMR015016
