Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,443,8703,9146,Tatkon,MMR018003
 Rural,366,42235,42601,Tatkon,MMR018003
 Total,809,50938,51747,Tatkon,MMR018003
