Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,1057,15629,16686,Mogok,MMR010011
 Rural,337,18224,18561,Mogok,MMR010011
 Total,1394,33853,35247,Mogok,MMR010011
