Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,203,5103,5306,Kyangin,MMR017012
 Rural,199,21352,21551,Kyangin,MMR017012
 Total,402,26455,26857,Kyangin,MMR017012
