Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,83,1427,1510,Yethedaung,MMR012008
 Rural,142,22689,22831,Yethedaung,MMR012008
 Total,225,24116,24341,Yethedaung,MMR012008
