Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,16,761,777,Ahmar(ST),MMR017023
 Rural,102,26907,27009,Ahmar(ST),MMR017023
 Total,118,27668,27786,Ahmar(ST),MMR017023
