Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,23,651,674,Homane(ST),MMR014018
 Rural,-,486,486,Homane(ST),MMR014018
 Total,23,1137,1160,Homane(ST),MMR014018
