Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,1569,6677,8246,Zeyarthiri,MMR018001
 Rural,701,17128,17829,Zeyarthiri,MMR018001
 Total,2270,23805,26075,Zeyarthiri,MMR018001
