Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,13,456,469,Panwine,MMR015007
 Rural,71,13429,13500,Panwine,MMR015007
 Total,84,13885,13969,Panwine,MMR015007
