Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,372,5751,6123,Lewe,MMR018007
 Rural,485,58566,59051,Lewe,MMR018007
 Total,857,64317,65174,Lewe,MMR018007
