Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,300,6456,6756,Thongwa,MMR013025
 Rural,304,33027,33331,Thongwa,MMR013025
 Total,604,39483,40087,Thongwa,MMR013025
