Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,449,5228,5677,Yatsauk,MMR014008
 Rural,116,20164,20280,Yatsauk,MMR014008
 Total,565,25392,25957,Yatsauk,MMR014008
