Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,107,1558,1665,Karli(ST),MMR014014
 Rural,51,4851,4902,Karli(ST),MMR014014
 Total,158,6409,6567,Karli(ST),MMR014014
