Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,151,3712,3863,Taungtha,MMR010018
 Rural,198,45791,45989,Taungtha,MMR010018
 Total,349,49503,49852,Taungtha,MMR010018
