Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,108,2859,2967,Lamine,MMR011006
 Rural,326,15346,15672,Lamine,MMR011006
 Total,434,18205,18639,Lamine,MMR011006
