Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,161,3096,3257,Namtu,MMR015015
 Rural,71,8313,8384,Namtu,MMR015015
 Total,232,11409,11641,Namtu,MMR015015
