Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,303,2550,2853,Loilem,MMR014011
 Rural,46,8002,8048,Loilem,MMR014011
 Total,349,10552,10901,Loilem,MMR014011
