Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,888,18009,18897,Myingyan,MMR010017
 Rural,193,43250,43443,Myingyan,MMR010017
 Total,1081,61259,62340,Myingyan,MMR010017
