Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,157,1623,1780,Singaing,MMR010014
 Rural,638,31161,31799,Singaing,MMR010014
 Total,795,32784,33579,Singaing,MMR010014
