Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,99,1443,1542,Kunhing,MMR014014
 Rural,20,3008,3028,Kunhing,MMR014014
 Total,119,4451,4570,Kunhing,MMR014014
