Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,197,3181,3378,Hopan,MMR015021
 Rural,49,6604,6653,Hopan,MMR015021
 Total,246,9785,10031,Hopan,MMR015021
