Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,38,1437,1475,Kyeintali(ST),MMR012017
 Rural,37,4569,4606,Kyeintali(ST),MMR012017
 Total,75,6006,6081,Kyeintali(ST),MMR012017
