Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,4408,37233,41641,Mingaladon,MMR013002
 Rural,1282,23380,24662,Mingaladon,MMR013002
 Total,5690,60613,66303,Mingaladon,MMR013002
