Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,81,2002,2083,Mineshu,MMR014017
 Rural,33,7085,7118,Mineshu,MMR014017
 Total,114,9087,9201,Mineshu,MMR014017
