Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,296,3958,4254,Kyaukpyu,MMR012011
 Rural,170,32840,33010,Kyaukpyu,MMR012011
 Total,466,36798,37264,Kyaukpyu,MMR012011
