Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,1049,15581,16630,Amarapura,MMR010006
 Rural,967,32029,32996,Amarapura,MMR010006
 Total,2016,47610,49626,Amarapura,MMR010006
