Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,-,91,91,Monehta(ST),MMR016008
 Rural,1,837,838,Monehta(ST),MMR016008
 Total,1,928,929,Monehta(ST),MMR016008
