Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,335,4889,5224,Panglong(ST),MMR014011
 Rural,40,9252,9292,Panglong(ST),MMR014011
 Total,375,14141,14516,Panglong(ST),MMR014011
