Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,3785,35883,39668,Myitkyina,MMR001001
 Rural,231,10684,10915,Myitkyina,MMR001001
 Total,4016,46567,50583,Myitkyina,MMR001001
 Urban,217,3603,3820,Waingmaw,MMR001002
 Rural,226,15734,15960,Waingmaw,MMR001002
 Total,443,19337,19780,Waingmaw,MMR001002
 Urban,3,75,78,Ingyanyan,MMR001003
 Rural,-,207,207,Ingyanyan,MMR001003
 Total,3,282,285,Ingyanyan,MMR001003
 Urban,142,3552,3694,Tanaing,MMR001004
 Rural,13,2691,2704,Tanaing,MMR001004
 Total,155,6243,6398,Tanaing,MMR001004
 Urban,14,315,329,Chiphwe,MMR001005
 Rural,16,1586,1602,Chiphwe,MMR001005
 Total,30,1901,1931,Chiphwe,MMR001005
 Urban,2,64,66,Hsotlaw,MMR001006
 Rural,6,1001,1007,Hsotlaw,MMR001006
 Total,8,1065,1073,Hsotlaw,MMR001006
 Urban,18,686,704,Hsinbo(ST),MMR001001
 Rural,7,1297,1304,Hsinbo(ST),MMR001001
 Total,25,1983,2008,Hsinbo(ST),MMR001001
 Urban,9,501,510,Hsadone(ST),MMR001002
 Rural,6,1094,1100,Hsadone(ST),MMR001002
 Total,15,1595,1610,Hsadone(ST),MMR001002
 Urban,4,170,174,Kanpaikti(ST),MMR001002
 Rural,12,1284,1296,Kanpaikti(ST),MMR001002
 Total,16,1454,1470,Kanpaikti(ST),MMR001002
 Urban,17,1008,1025,Shinbwayyan(ST),MMR001004
 Rural,4,1101,1105,Shinbwayyan(ST),MMR001004
 Total,21,2109,2130,Shinbwayyan(ST),MMR001004
 Urban,15,181,196,Panwa(ST),MMR001005
 Rural,13,1166,1179,Panwa(ST),MMR001005
 Total,28,1347,1375,Panwa(ST),MMR001005
 Urban,471,5882,6353,Mohnyin,MMR001007
 Rural,300,23537,23837,Mohnyin,MMR001007
 Total,771,29419,30190,Mohnyin,MMR001007
 Urban,257,4191,4448,Mogaung,MMR001008
 Rural,337,20113,20450,Mogaung,MMR001008
 Total,594,24304,24898,Mogaung,MMR001008
 Urban,273,6583,6856,Phakant,MMR001009
 Rural,706,25572,26278,Phakant,MMR001009
 Total,979,32155,33134,Phakant,MMR001009
 Urban,216,4325,4541,Hopin(ST),MMR001007
 Rural,43,4848,4891,Hopin(ST),MMR001007
 Total,259,9173,9432,Hopin(ST),MMR001007
 Urban,18,1012,1030,Kamine(ST),MMR001009
 Rural,12,2456,2468,Kamine(ST),MMR001009
 Total,30,3468,3498,Kamine(ST),MMR001009
 Urban,800,8715,9515,Bhamo,MMR001010
 Rural,212,14434,14646,Bhamo,MMR001010
 Total,1012,23149,24161,Bhamo,MMR001010
 Urban,180,3222,3402,Shwegu,MMR001011
 Rural,65,12361,12426,Shwegu,MMR001011
 Total,245,15583,15828,Shwegu,MMR001011
 Urban,61,2029,2090,Momauk,MMR001012
 Rural,89,6455,6544,Momauk,MMR001012
 Total,150,8484,8634,Momauk,MMR001012
 Urban,63,1555,1618,Mansi,MMR001013
 Rural,70,8866,8936,Mansi,MMR001013
 Total,133,10421,10554,Mansi,MMR001013
 Urban,5,356,361,Myohla(ST),MMR001011
 Rural,-,432,432,Myohla(ST),MMR001011
 Total,5,788,793,Myohla(ST),MMR001011
 Urban,79,1146,1225,Lwe`ge`(ST),MMR001012
 Rural,2,276,278,Lwe`ge`(ST),MMR001012
 Total,81,1422,1503,Lwe`ge`(ST),MMR001012
 Urban,9,302,311,Dotphoneyan(ST),MMR001012
 Rural,13,1909,1922,Dotphoneyan(ST),MMR001012
 Total,22,2211,2233,Dotphoneyan(ST),MMR001012
 Urban,151,2660,2811,Putao,MMR001014
 Rural,45,7887,7932,Putao,MMR001014
 Total,196,10547,10743,Putao,MMR001014
 Urban,6,166,172,Sumprabum,MMR001015
 Rural,3,304,307,Sumprabum,MMR001015
 Total,9,470,479,Sumprabum,MMR001015
 Urban,19,389,408,Machanbaw,MMR001016
 Rural,3,1308,1311,Machanbaw,MMR001016
 Total,22,1697,1719,Machanbaw,MMR001016
 Urban,-,70,70,Khaunglanphoo,MMR001018
 Rural,9,1632,1641,Khaunglanphoo,MMR001018
 Total,9,1702,1711,Khaunglanphoo,MMR001018
 Urban,11,349,360,Naungmoon,MMR001017
 Rural,2,581,583,Naungmoon,MMR001017
 Total,13,930,943,Naungmoon,MMR001017
 Urban,-,24,24,Pannandin(ST),MMR001017
 Rural,1,244,245,Pannandin(ST),MMR001017
 Total,1,268,269,Pannandin(ST),MMR001017
 Urban,1145,9277,10422,Loikaw,MMR002001
 Rural,353,15720,16073,Loikaw,MMR002001
 Total,1498,24997,26495,Loikaw,MMR002001
 Urban,50,1087,1137,Dimawso,MMR002002
 Rural,170,14040,14210,Dimawso,MMR002002
 Total,220,15127,15347,Dimawso,MMR002002
 Urban,26,827,853,Phruso,MMR002003
 Rural,22,5035,5057,Phruso,MMR002003
 Total,48,5862,5910,Phruso,MMR002003
 Urban,7,329,336,Shardaw,MMR002004
 Rural,1,1069,1070,Shardaw,MMR002004
 Total,8,1398,1406,Shardaw,MMR002004
 Urban,39,800,839,Bawlakhe,MMR002005
 Rural,-,750,750,Bawlakhe,MMR002005
 Total,39,1550,1589,Bawlakhe,MMR002005
 Urban,16,578,594,Parsaung,MMR002006
 Rural,29,4110,4139,Parsaung,MMR002006
 Total,45,4688,4733,Parsaung,MMR002006
 Urban,-,195,195,Meisi,MMR002007
 Rural,4,1103,1107,Meisi,MMR002007
 Total,4,1298,1302,Meisi,MMR002007
 Urban,5,287,292,Ywathit(ST),MMR002005
 Rural,2,198,200,Ywathit(ST),MMR002005
 Total,7,485,492,Ywathit(ST),MMR002005
 Urban,1625,13143,14768,Hpa-an,MMR003001
 Rural,1480,72949,74429,Hpa-an,MMR003001
 Total,3105,86092,89197,Hpa-an,MMR003001
 Urban,107,2172,2279,Hlaingbwe,MMR003002
 Rural,242,29065,29307,Hlaingbwe,MMR003002
 Total,349,31237,31586,Hlaingbwe,MMR003002
 Urban,126,2936,3062,Thandaunggyi,MMR003004
 Rural,9,2738,2747,Thandaunggyi,MMR003004
 Total,135,5674,5809,Thandaunggyi,MMR003004
 Urban,10,797,807,Paingkyon(ST),MMR003002
 Rural,91,16880,16971,Paingkyon(ST),MMR003002
 Total,101,17677,17778,Paingkyon(ST),MMR003002
 Urban,-,83,83,Shan Ywathit(ST),MMR003002
 Rural,6,3667,3673,Shan Ywathit(ST),MMR003002
 Total,6,3750,3756,Shan Ywathit(ST),MMR003002
 Urban,19,588,607,Leiktho(ST),MMR003004
 Rural,22,9297,9319,Leiktho(ST),MMR003004
 Total,41,9885,9926,Leiktho(ST),MMR003004
 Urban,14,422,436,Bawgali(ST),MMR003004
 Rural,8,2961,2969,Bawgali(ST),MMR003004
 Total,22,3383,3405,Bawgali(ST),MMR003004
 Urban,29,604,633,Pharpon,MMR003003
 Rural,21,1890,1911,Pharpon,MMR003003
 Total,50,2494,2544,Pharpon,MMR003003
 Urban,36,2713,2749,Kamamaung(ST},MMR003003
 Rural,4,1205,1209,Kamamaung(ST},MMR003003
 Total,40,3918,3958,Kamamaung(ST},MMR003003
 Urban,1419,22597,24016,Myawady,MMR003005
 Rural,424,16818,17242,Myawady,MMR003005
 Total,1843,39415,41258,Myawady,MMR003005
 Urban,3,72,75,Sugali(ST),MMR003005
 Rural,9,977,986,Sugali(ST),MMR003005
 Total,12,1049,1061,Sugali(ST),MMR003005
 Urban,5,572,577,Wawlaymyaing(ST),MMR003005
 Rural,9,1111,1120,Wawlaymyaing(ST),MMR003005
 Total,14,1683,1697,Wawlaymyaing(ST),MMR003005
 Urban,333,8149,8482,Kawkareik,MMR003006
 Rural,734,36282,37016,Kawkareik,MMR003006
 Total,1067,44431,45498,Kawkareik,MMR003006
 Urban,86,1731,1817,Kyarinseikkyi,MMR003007
 Rural,207,20016,20223,Kyarinseikkyi,MMR003007
 Total,293,21747,22040,Kyarinseikkyi,MMR003007
 Urban,409,5687,6096,Payarthonezu(ST),MMR003007
 Rural,62,11637,11699,Payarthonezu(ST),MMR003007
 Total,471,17324,17795,Payarthonezu(ST),MMR003007
 Urban,16,664,680,Kyaidon(ST),MMR003007
 Rural,25,10028,10053,Kyaidon(ST),MMR003007
 Total,41,10692,10733,Kyaidon(ST),MMR003007
 Urban,460,4761,5221,HaKa,MMR004002
 Rural,22,4674,4696,HaKa,MMR004002
 Total,482,9435,9917,HaKa,MMR004002
 Urban,108,1399,1507,Thantlang,MMR004003
 Rural,104,8171,8275,Thantlang,MMR004003
 Total,212,9570,9782,Thantlang,MMR004003
 Urban,167,1835,2002,Falam,MMR004001
 Rural,36,6390,6426,Falam,MMR004001
 Total,203,8225,8428,Falam,MMR004001
 Urban,192,2058,2250,Tedim,MMR004004
 Rural,305,12128,12433,Tedim,MMR004004
 Total,497,14186,14683,Tedim,MMR004004
 Urban,60,580,640,Tonzaung,MMR004005
 Rural,7,2764,2771,Tonzaung,MMR004005
 Total,67,3344,3411,Tonzaung,MMR004005
 Urban,27,643,670,Rihkhuadal(ST),MMR004001
 Rural,11,517,528,Rihkhuadal(ST),MMR004001
 Total,38,1160,1198,Rihkhuadal(ST),MMR004001
 Urban,7,208,215,Cikha(ST),MMR004005
 Rural,4,1311,1315,Cikha(ST),MMR004005
 Total,11,1519,1530,Cikha(ST),MMR004005
 Urban,126,2217,2343,Mindat,MMR004006
