Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,516,5616,6132,Namkham,MMR015010
 Rural,130,15155,15285,Namkham,MMR015010
 Total,646,20771,21417,Namkham,MMR015010
