Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,69,1699,1768,Pansai(KyuKute)(ST),MMR015009
 Rural,46,2729,2775,Pansai(KyuKute)(ST),MMR015009
 Total,115,4428,4543,Pansai(KyuKute)(ST),MMR015009
