Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,136,2630,2766,Yekyi,MMR017006
 Rural,210,24826,25036,Yekyi,MMR017006
 Total,346,27456,27802,Yekyi,MMR017006
