Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,53,2437,2490,Tada(ST),MMR013024
 Rural,14,6989,7003,Tada(ST),MMR013024
 Total,67,9426,9493,Tada(ST),MMR013024
