Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,1453,17453,18906,Sittway,MMR012001
 Rural,155,9975,10130,Sittway,MMR012001
 Total,1608,27428,29036,Sittway,MMR012001
