Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,188,4992,5180,Danubyu,MMR017022
 Rural,124,39493,39617,Danubyu,MMR017022
 Total,312,44485,44797,Danubyu,MMR017022
