Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,199,3232,3431,Phekon,MMR014010
 Rural,182,16471,16653,Phekon,MMR014010
 Total,381,19703,20084,Phekon,MMR014010
