Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,98,2121,2219,Mongkai,MMR014016
 Rural,39,14074,14113,Mongkai,MMR014016
 Total,137,16195,16332,Mongkai,MMR014016
