Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,85,1248,1333,Minepyin,MMR016007
 Rural,38,9234,9272,Minepyin,MMR016007
 Total,123,10482,10605,Minepyin,MMR016007
