Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,4093,99714,103807,Hlinethaya,MMR013008
 Rural,750,44154,44904,Hlinethaya,MMR013008
 Total,4843,143868,148711,Hlinethaya,MMR013008
