Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,3662,30437,34099,Lashio,MMR015001
 Rural,248,30585,30833,Lashio,MMR015001
 Total,3910,61022,64932,Lashio,MMR015001
