Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,91,2140,2231,Kawhmu,MMR013028
 Rural,172,27389,27561,Kawhmu,MMR013028
 Total,263,29529,29792,Kawhmu,MMR013028
