Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,296,1264,1560,Minelar,MMR016005
 Rural,30,3618,3648,Minelar,MMR016005
 Total,326,4882,5208,Minelar,MMR016005
