Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,4,81,85,Mawhtike(ST),MMR015023
 Rural,14,4104,4118,Mawhtike(ST),MMR015023
 Total,18,4185,4203,Mawhtike(ST),MMR015023
