Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,232,5817,6049,Myanaung,MMR017011
 Rural,240,53631,53871,Myanaung,MMR017011
 Total,472,59448,59920,Myanaung,MMR017011
