Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,351,7165,7516,Kyaikto,MMR011009
 Rural,443,30129,30572,Kyaikto,MMR011009
 Total,794,37294,38088,Kyaikto,MMR011009
