Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,88,2400,2488,Gwa,MMR012017
 Rural,41,8716,8757,Gwa,MMR012017
 Total,129,11116,11245,Gwa,MMR012017
