Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,166,3878,4044,Bilin,MMR011010
 Rural,263,34924,35187,Bilin,MMR011010
 Total,429,38802,39231,Bilin,MMR011010
