Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,515,1507,2022,Pan San(Pan Kham),MMR015005
 Rural,299,13821,14120,Pan San(Pan Kham),MMR015005
 Total,814,15328,16142,Pan San(Pan Kham),MMR015005
