Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,73,1233,1306,Mannaung,MMR017011
 Rural,44,13385,13429,Mannaung,MMR017011
 Total,117,14618,14735,Mannaung,MMR017011
