Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,23,698,721,Ponparkyin(ST),MMR016008
 Rural,56,6557,6613,Ponparkyin(ST),MMR016008
 Total,79,7255,7334,Ponparkyin(ST),MMR016008
