Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,219,5198,5417,Kyaiklatt,MMR017025
 Rural,111,38220,38331,Kyaiklatt,MMR017025
 Total,330,43418,43748,Kyaiklatt,MMR017025
