Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,942,11656,12598,Kalaw,MMR014005
 Rural,283,28460,28743,Kalaw,MMR014005
 Total,1225,40116,41341,Kalaw,MMR014005
