Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,41,938,979,Naungtayar(ST),MMR014009
 Rural,128,15472,15600,Naungtayar(ST),MMR014009
 Total,169,16410,16579,Naungtayar(ST),MMR014009
