Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,88,2145,2233,Momeik,MMR015017
 Rural,78,11341,11419,Momeik,MMR015017
 Total,166,13486,13652,Momeik,MMR015017
