Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,67,1811,1878,An,MMR012014
 Rural,165,25316,25481,An,MMR012014
 Total,232,27127,27359,An,MMR012014
