Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,2971,55540,58511,Shwepyitha,MMR013007
 Rural,416,14848,15264,Shwepyitha,MMR013007
 Total,3387,70388,73775,Shwepyitha,MMR013007
