Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,6,501,507,Minesan(Monsan)(ST),MMR014017
 Rural,86,6073,6159,Minesan(Monsan)(ST),MMR014017
 Total,92,6574,6666,Minesan(Monsan)(ST),MMR014017
