Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,2103,16606,18709,Thanlyin,MMR013023
 Rural,1205,41683,42888,Thanlyin,MMR013023
 Total,3308,58289,61597,Thanlyin,MMR013023
