Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,156,5149,5305,Wakema,MMR017017
 Rural,259,61884,62143,Wakema,MMR017017
 Total,415,67033,67448,Wakema,MMR017017
