Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,548,10158,10706,Thaton,MMR011007
 Rural,522,37056,37578,Thaton,MMR011007
 Total,1070,47214,48284,Thaton,MMR011007
