Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,43,671,714,Mabane,MMR015018
 Rural,99,7819,7918,Mabane,MMR015018
 Total,142,8490,8632,Mabane,MMR015018
