Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,159,1171,1330,Le`char,MMR014012
 Rural,85,7375,7460,Le`char,MMR014012
 Total,244,8546,8790,Le`char,MMR014012
