Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,1999,32173,34172,Dagon Myothit(Seik),MMR013021
 Rural,40,3693,3733,Dagon Myothit(Seik),MMR013021
 Total,2039,35866,37905,Dagon Myothit(Seik),MMR013021
