Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Urban,632,8021,8653,Kyukme,MMR015012
 Rural,246,19472,19718,Kyukme,MMR015012
 Total,878,27493,28371,Kyukme,MMR015012
